verschaffen	provide
verpassen/bestanden	miss/pass
vorschlagen/beraten/empfehlen	recommend/advise
verzichten	deny yourself to do (even though you want)
mit (dativ) rechnen	count on/rely on
in Betracht kommen/Rücksicht nehmen	take into consideration, is a possibility/to be considerate of (peoples needs)
zur Auswahl stehen/verfügbar sein	being available
eskalieren	escalate/tetiklemek
aufeinander schichten	layering on one another
auf etw(akk) zugreifen	access
äußern	speak out
reinstecken	insert
es bedarf <genitiv>	require (genitiv)
sich etw(gen.) bedienen	TAKE [not make use of]
sich etw(gen.) entsinnen	remember
sich etw(gen.) erbarmen	take pity on, acımak
sich etw(gen.) enthalten	tarafsız kalmak, boş oy
sich etw(gen.) schämen	feel shame/shame on
jdn. keines Blickes würdigen	tenezzül bile etmemek/not worth
aufschreiben/notieren~~vermerken	not almak/write down~~(more formal) write
mir waren etwas ausgegangen/mir haben ein paar Lebensmittel gefehlt	evde x bitti/missing
zum Teufel gejagt hast	chase someone away
belegen	reserve/occupy
widerstehen	resist
den Kopft verdrehst	trick someone to fall in love
kneifen	korkaklık yapmak/chicken out
stöhnen	ses çıkarmak (yorulduktan sonra)
ausweichen	dodge/evade, konudan kaçmak
aufheben	yere düşen birşeyi almak
beschuldigen	blame/suçlamak
an das Handy/Telefon gehen	telefona cevap vermek/pick up the phone
ertragen/(daha hafif) klarkommen	bear (sorunla başa çıkmak)
auf tauchen	show up
auf jdn stehen	fancy on someone/have a crush
nichts ist gelaufen	nothing happened (for the night, sexually)
sich aufregen	to be upset
Entscheidung ist gefallen	decision is made
vor jdm(dativ) davongelaufen/die Flucht ergreifen~~hinterher rennen	run away~~run after
vorstellen	introduce/present
unterbrechen	interrupt
sich jdm umdrehen	turn into someone
abbrechen	disconnect (internet)
empfinden/spüren	feel mental/fiziksel
etwas in den falschen Hals bekommen	misunderstand
jdn von etw (dativ) weg bekommen	stop someone doing something
abbrechen/schmeißen	(uni) quit/(studium) quit
überweisen	(money) transfer (online)
loswerden	get rid of
an der Nase herumgeführt	parmağında oynatmak
sich ablenken	to get distracted
in Anspruch zeit nehmen	take time
einen Gefallen schulden	owe a favor
abhaken	(forget it) done
die Sprache verschlagen	dilini yutmak (deyim, konuşamamak)
klammern	cling/too close and annoy
gelten	(rule) applies (for everyone)
betreffen	concern(alakadar etmek)/affect
bescheuert/dumm/doof	stupid/dumb
es recht machen	please (Vincent is impossible to please)
ausmachen	matter (something doesn't matter to me)
sich weigern	refuse (to do something)
abheften	place (documents into a folder)
jemandem etwas einbrocken	get sb. into trouble
was hältst du von	what do you think?
Grenzen gestoßen	reaching limits
trösten	teselli/consolation
dazugeben	yemeke bir şey katmak/add/put
nach X schauen	birini aramak, bakınmak
gehäuft	piled/heaped/a lot
ursprünglich	originally
vermutlich	presumably/muhtemelen/anladığım kadarıla
ausgesprochen	epey (sıfatın önüne)
verregnet	rainy
angenehm	pleasant/comfortable (weather)
recht	quite(sıfatın önüne)
wohingegen	whereas
irgendeins/egal	farketmez, rastgele (any)
durchschnittlich	on average
öfter mal	time to time
vermisst	missing
entgegen etw(dativ) (Erwartung/Uhrzeigersinn)	against (expectation/clockwise[sinn=anti])
entsprechend(dativ)/gemäß(dativ)/je nach/auf etw ankommen	depending on something
getreu etw(dativ)	'e uyarak/sadık kalarak
etw(dativ) zufolge/infolge etw(gen)	according to/result of something
jene	that
jenseits etw(gen)	that side (of a river)
unterhalb etw(gen)	under (genitiv version of unter)
anlässlich etw(gen)	on the occasion of/'nın olması durumunda
angesichts etw(gen)	in view of/göz önünde bulundurulduğunda
abzüglich/zuzüglich etw(gen)	less-'in azlığı/plus,additional,'in çokluğu
anhand etw(gen)	with the help of
auf Seiten etw(gen)	on the side of/on the x's side
zulasten etw(gen)	cost of/disadvantage of
zu (Un)Gunsten etw(gen)	in favour of/for someones benefit
um etw(gen) willen	sake of/hatrım için
verwerflich	bad/shame
steil	dik (yol, yokuş)
beeindruckend	impressive
ausgerechnet (du, dir)	sana mı (sorucam) / of all people
im Gegensatz zu uns	unlike us
zwischenzeitlich/in der Zwischenzeit	meanwhile
lächeln	smile
eifersucht/eifersüchtig sein	kıskanç/kıskanç olmak
schlechte Stimmung	olumsuz hava (mecaz)
stattdessen~~anstatt/anstelle von	instead~~instead of
still	silent
windstill	rüzgarsız
riesig	huge
ehemalig	former/old (e.g. president)
vielmehr	more like
Gepäck~~Beutel/Tasche	valiz~~poşet
jemals	ever
anscheinend/scheinbar	appearently
anfassen	touch
früher/vorhin	before1
unsterblich	nondying
hauptsache	the point/most impoırtantly
ohnehin	anyway
dringend/beeilen-eilen	urgently/hurry
ruppig	aksi
genug am Hals	enough trouble
hin- und her	bir ona bir öbürüne/back and forth
hilfsbereit/hilfreich	helpful
gratis/umsonst	free
lohnen	worth/wert
sich gut/schlecht benehmen	behave good/bad towards someone
unter einem Vorwand	bir bahaneyle
sich ansammeln	pile up
sich benehmen/sich verhalten	act
treffen/begegnen/jdn über dem wen gelaufen	karşılaşmak
Wo ist der Haken?	What is the catch?/Bu kadar iyi olamaz, kesin bir hinlik var
auf/zu	open/closed
ehrlich gesagt	to be honest
hereinlegen	bamboozle
sich über jemanden/etwas lustig machen	
momentan	currently
wie wär es wenn ...	how would that be when ...
sich auf den Weg machen	yola çıkmak/depart
der/die Jugendliche(-n)	young
verderben	spoil
bodenständig	klasik/eski/kadim
andersherum	vice-versa
absagen	cancel
niesen	sneeze
übrig geblieben	left-over
reichen	yetmek/be enough
schnappen	alıvermek/snatch away/take away
auf meine Linie achten	formunu korumak (waistline bel ölçüsü)
ein gefundenes Fressen	an opportunity to not miss
mindest/immerhin	at least (quantity/cognitive)
präsentation halten	making a presentation
treffen/begegnen/jdn über dem wen gelaufen	karşılaşmak
gesamte X	entire/whole/all X
mithalten	keep up/keep pace/compete
