_der | Montag, Dienstag
_der | März, Mai, September
_der | Sommer, Winter, Frühling, Herbst
_der | Süd, Ost, Nord, West
_der | Regen, Schnee, Blitz
_der | BMW, Skoda, Honda
_der | Wein, Sekt - !!except das Bier & Mischungen (das Radler, das Alsterwasser) !!
_der | Computer, Drucker, Kalender, Staubsauger
_der | König, Honig, Teppich
_der | Zwilling, Liebling
_der | Tourismus, Kapitalismus, Rassismus
_der | Schlaf (Todo: add more verb without -en)
_der | Weg, Zug, Anfang, Abend, Platz, Artikel (No Rule, just popular)

_die | Tasche, Flasche, Lampe, Tasse, Pfanne
_die | Käserei, Bäckerei, Schneiderei
_die | Freiheit, Sicherheit, Gesundheit
_die | Ehrlichkeit, Persönlichkeit, Möglichkeit
_die | Freundschaft, Wirtschaft
_die | Station, Situation, Information, Lektion, Aktion
_die | Nationalität, Universität
_die | Klinik, Musik, Politik, Kosmetik
_die | Stadt, Zeit, Arbeit, Hand, Art, Nacht (No Rule, just popular)

_das | Mädchen, Brötchen
_das | Experiment, Dokument, Moment, Medikament, Monument
_das | Ergebnis, Tennis
_das | Thema, Dilemma, Drama
_das | Meeting, Training, Marketing
_das | Haus, Auto, Buch, Problem, Geld, Wasser, Kind, Zimmer, Wort, Herz, Hotel (No Rule, just popular)
_das | Deutsch, Türkisch (no article though)
