backen-gebacken	backte/buk
beginnen-begonnen	begann
bieten-geboten	bot
brechen-gebrochen	brach
bringen-gebracht	brachte
entscheiden-entschieden	entschied
essen-gegessen	aß
fahren-gefahren	fuhr
fallen-gefallen	fiel
geben-gegeben	gab
gehen-gegangen	ging
genießen-genossen	genas
heißen-geheißen	hieß
helfen-geholfen	half
kligen-geklungen	klang
kommen-gekommen	kam
lassen-gelassen	ließ
laufen-gelaufen	lief
lesen-gelesen	las
lügen-gelogen	log
nehmen-genommen	nahm
rufen-gerufen	rief
schaffen-geschaffen	schuf
schlafen-gesclafen	schlief
schwimmen-geschwommen	schwamm
sehen-gesehen	sah
sitzen-gesessen	saß
sprechen-gesprochen	sprach
stehen-gestanden	stand
sterben-gestorben	starb
tragen-getragen	trug
treffen-getroffen	traf
trinken-getrunken	trank
tun-getan	tat
vergessen-vergessen	vergaß
verlieren-verloren	verlor
wachsen-gewachsen	wuchs
waschen-gewaschen	wusch
werfen-geworfen	warf
ziehen-gezogen	zog
