gesamten Schule |  Tüm okul
vereinzelt |  einige - Tek tük, nadiren
drumherum |  (physically) around - Kinder liefen drumherum - Leute drumherum sind nett
betroffen |  Etkilenen
Zustände |  Durumlar, koşullar
erlebe |  Yaşıyorum, deneyimliyorum
auf zig marode Schulgebäude gestoßen |  Birçok harap okul binasıyla karşılaştık
Kreditanstalt |  Kredi kurumu
Weideraufbau |  Yeniden inşa
beträgt |  (para/miktar/vb'nin belirli bir seviyeyi) bulmak / erişmek / görmek
Rückstau | Gerilik / eksiklik
Investitionsrückstau |  Yatırım geriliği / eksikliği
Kommunen |  Belediyeler
nannten |  nennen -> nannten - belirtmek -> belirtti
gravierend |  (yatırımdaki geriliğin) Ciddi, ağır (olması)
vermeintlich |  Görünürde, sanki
zuständig |  Sorumlu
Allerdings |  Fakat, ancak
mitreden |  Söz sahibi olmak
verankert |  Köklü, oturmuş
erschweren |  Zorlaştırmak
Gehälter |  Maaşlar
Haushalt |  Bütçe
Schulbauten |  Okul binaları
wiederum |  Buna karşılık
Landkreise |  İlçeler
die Gemeinde beziehungsweise der Landkreis |  Belediye veya ilçe
jeweilige |  İlgili, o
Neubauten |  Yeni binalar
Gelder |  Paralar
Fördertopf |  Destek fonu
faktisch |  Fiilen, pratikte
zweckgebundene |  Amaca yönelik
bereitstellen |  Sağlamak, tahsis etmek
Internetzugänge |  İnternet erişimleri
