betroffen |  Etkilenen
Zustände |  Durumlar, koşullar
Kreditanstalt |  Kredi kurumu
Weideraufbau |  Yeniden inşa
Kommunen |  Belediyeler
vermeintlich |  Görünürde, sanki
zuständig |  Sorumlu
mitreden |  Söz sahibi olmak
verankert |  Köklü, oturmuş
erschweren |  Zorlaştırmak
Haushalt |  Bütçe
wiederum |  Buna karşılık
Landkreise |  İlçeler
die Gemeinde beziehungsweise der Landkreis |  Belediye veya ilçe
jeweilige |  İlgili, o
Fördertopf |  Destek fonu
faktisch |  Fiilen, pratikte
zweckgebundene |  Amaca yönelik
Internetzugänge |  İnternet erişimleri
