konträr | zıt  
gewerkt | çalışılmış (elle)  
Zeitalter | çağ  
künstlicher Intelligenz | yapay zeka  
Digitalisierung | dijitalleşme  
Handwerksbetrieben | zanaat işletmeleri  
zögerlich | tereddütlü  
Arbeitsabläufen | iş süreçleri  
Umdenken | düşünce değişikliği  
nicht ganz leicht | pek kolay değil  
schätzt | takdir eder  
Papierform | kağıt formatı  
analog unterwegs | analog şekilde çalışıyor  
zum Einsatz | kullanımda  
umstellen | değiştirmek  
verändert | değiştirir  
klassische Weg | klasik yöntem  
Steckdosen | prizler  
wünschen sich | arzu ederler  
drahtlos | kablosuz  
Sprachassistenzgeräten | sesli asistan cihazları  
gesteuert | kontrol edilen  
Fachwissen | uzmanlık bilgisi  
Elektriker und Elektrikerinnen | elektrikçiler  
komplizierte Schaltungen | karmaşık devreler  
programmieren | programlamak  
mit der Zeit gehen | zamana ayak uydurmak  
Gewinnmargen | kar marjları  
Luxusbereich | lüks alan  
nennt ein Zahlenbeispiel | bir sayı örneği verir  
anfänglicher Bedenken | başlangıçtaki endişeler  
Fortschritt nicht in den Weg | ilerlemeye engel olmamak  
Gründer eines Start-ups | bir girişimin kurucusu  
Bauhandwerker | inşaat işçileri  
überzeugen | ikna etmek  
leicht zu bedienen | kullanımı kolay  
ersparen | tasarruf sağlamak  
Zugriff | erişim  
Grundrisse | planlar  
Maße | ölçüler  
Dienstpläne | iş programları  
Zurückhaltung | çekingenlik  
Fortschritt | ilerleme  
Konditormeister | pastacılık ustası  
Inhaber | sahip  
sinnvoll einsetzen | mantıklı bir şekilde kullanmak  
gezwungen | zorlanmış  
vernetzt | bağlantılı  
Backstube | fırın  
Torten | pastalar  
Verkaufszahlen | satış rakamları  
Theken | tezgahlar  
Backprogramm | fırın programı  
hinterlegt | kayıtlı  
Nährwertangaben | besin değerleri  
Sonderwünsche | özel istekler  
reibungslosen Ablauf | sorunsuz süreç  
aufrüsten | yükseltmek  
Kühltruhen | soğutucular  
automatisiert | otomatikleştirilmiş  
Buchhaltung | muhasebe  
Steuer | vergi  
Lohnabrechnungen | maaş bordroları  
reibungsloser | daha sorunsuz  
Handwerkstradition | zanaat geleneği  
verbinden | birleştirmek  
Sattlerhandwerk | eyer yapımı zanaati  
Wissenschaftlern | bilim insanları  
patentiertes | patentli  
Pferdesättel | at eyerleri  
passgenau | tam uyumlu  
anzupassen | uyarlamak  
konventionell | geleneksel  
biegsame Lineale | esnek cetveller  
dreidimensionale Darstellung | üç boyutlu tasvir  
Pferderücken | at sırtı  
Messergebnisse | ölçüm sonuçları  
Rechner | bilgisayar  
besondere Maschine | özel makine  
Pferderückenabbilder | at sırtı modelleri  
naturgetreu | aslına uygun  
Form | şekil  
vermessen | ölçmek  
reinschauen | içine bakmak  
Rückenverlauf | sırt hattı  
dementsprechend | buna göre  
Auflage | oturma yüzeyi  
Winkelung | açı  
sich anpassen | uyum sağlamak  
elektrisch gesteuertes | elektrikle kontrol edilen  
Metallgestell | metal çerçeve  
erzeugt | üretir  
Scanner-Daten | tarayıcı verileri  
gewünschte | istenen  
Sattelform | eyer şekli  
Sattelbaum | eyerin temel yapısı  
Polster | dolgu malzemesi  
Reiten | binicilik  
Lebewesen | canlı varlıklar  
Körperbau | vücut yapısı  
Bewegung | hareket  
verändern | değiştirmek  
notwendig | gerekli  
anpassen | uyarlamak  
Geschieht das nicht | bu gerçekleşmezse  
schmerzhafte Folgen | acı verici sonuçlar  
Handwerksberufe | zanaat meslekleri  
jahrhundertealter Geschichte | asırlık tarih  
Tradition | gelenek  
erleichtert | kolaylaştırır  
ersetzt | yerine geçer  
Handarbeit | el işi  
Werken | çalışma  
Kalorienbomben | kalori bombaları  
Konditor | pastacı  
hergestellt | üretilmiş  
3D-Drucker | 3D yazıcılar  
Nahrungsmittel | gıda ürünleri  
Markt | piyasa  
